epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,1468.18,1.51381,1.00444,0.00484,0.89028,0.88771,0.94626,0.60892,1.28991,0.59856,0.00494,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,1760.57,1.5089,1.00553,0.00477,0.89546,0.89328,0.94841,0.60912,1.29577,0.58599,0.005,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,2052.57,1.50267,1.01292,0.00477,0.88049,0.90139,0.94828,0.61343,1.26993,0.60274,0.00484,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,2346.44,1.49857,0.99293,0.0048,0.87958,0.90884,0.95,0.61366,1.27592,0.59562,0.00485,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,2639.3,1.48835,0.99124,0.00476,0.87306,0.90361,0.94505,0.6084,1.28138,0.5904,0.0049,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,2934.06,1.4899,0.98746,0.00476,0.87506,0.89363,0.94488,0.61425,1.27054,0.5841,0.00486,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,3228.31,1.48195,0.9618,0.00471,0.87213,0.90663,0.94318,0.61431,1.26812,0.58326,0.00486,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,3522.07,1.48268,0.96912,0.00472,0.86188,0.90117,0.9428,0.61195,1.26891,0.5878,0.00485,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,3815.56,1.47476,0.95174,0.0047,0.88518,0.90115,0.94615,0.61203,1.28085,0.58219,0.00492,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,4109.53,1.46886,0.9509,0.00461,0.8869,0.90692,0.94695,0.61414,1.27502,0.57569,0.00488,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,4403.81,1.45621,0.95425,0.00461,0.88946,0.89637,0.94975,0.61467,1.27791,0.57419,0.00487,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,4698.07,1.45302,0.94669,0.00459,0.88235,0.89848,0.94705,0.61145,1.28611,0.57006,0.0049,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,4992.97,1.45205,0.95241,0.00461,0.88223,0.89777,0.94571,0.61474,1.26966,0.5799,0.00482,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,5285.93,1.46303,0.92393,0.00466,0.88754,0.89425,0.94664,0.61822,1.27046,0.56338,0.00482,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,5579.96,1.4545,0.91698,0.0046,0.89339,0.90412,0.95044,0.62378,1.26569,0.55079,0.00479,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,5873.53,1.43802,0.93104,0.00453,0.89246,0.89894,0.949,0.62602,1.26062,0.55164,0.00478,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,6168.18,1.44095,0.92334,0.00458,0.88239,0.90334,0.94809,0.62725,1.26182,0.55164,0.00477,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,6462.07,1.43331,0.90481,0.00454,0.88954,0.90376,0.9488,0.62748,1.26069,0.54933,0.00477,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,6756.61,1.42813,0.89786,0.00452,0.89153,0.9037,0.9487,0.62584,1.25897,0.55207,0.00475,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,7051.55,1.42923,0.88936,0.0045,0.88673,0.90988,0.94862,0.6265,1.25894,0.55372,0.00476,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,7346.34,1.42813,0.89225,0.00447,0.88675,0.91159,0.94911,0.62691,1.25746,0.54842,0.00476,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,7640.29,1.42149,0.89895,0.00446,0.88829,0.90488,0.94909,0.62854,1.25283,0.54788,0.00474,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,7933.85,1.41891,0.90361,0.00447,0.8898,0.90465,0.94929,0.63042,1.2496,0.5472,0.00473,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,8227.7,1.41343,0.87778,0.00442,0.88656,0.90475,0.94903,0.63104,1.24571,0.54342,0.00471,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,8521.31,1.40707,0.8879,0.00442,0.89869,0.90668,0.95041,0.63225,1.24114,0.54279,0.0047,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,8815.07,1.39962,0.8742,0.00445,0.89418,0.90617,0.94949,0.6328,1.23971,0.54037,0.00469,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,9110.36,1.39058,0.85912,0.00436,0.8878,0.90459,0.95004,0.63489,1.23711,0.54118,0.00468,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,9404.45,1.38741,0.85371,0.00434,0.89311,0.89879,0.95165,0.63537,1.23523,0.53626,0.00467,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,9698.13,1.38078,0.84808,0.00433,0.90111,0.89795,0.95243,0.63547,1.22981,0.53585,0.00466,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,9991.7,1.38364,0.83485,0.00438,0.90583,0.90275,0.95339,0.63739,1.23119,0.53011,0.00466,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,10284.6,1.37,0.8483,0.00432,0.90257,0.90239,0.95268,0.63935,1.22802,0.52647,0.00465,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,10577.2,1.37995,0.83916,0.0043,0.9004,0.90798,0.95325,0.63783,1.22702,0.52601,0.00465,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,10870.2,1.37221,0.84583,0.00427,0.8996,0.90836,0.95376,0.63927,1.22522,0.52818,0.00463,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,11163.1,1.36325,0.84979,0.00425,0.90005,0.91091,0.95406,0.63852,1.22414,0.52762,0.00462,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,11456.1,1.3581,0.82126,0.00424,0.8972,0.91378,0.95383,0.6377,1.2251,0.52721,0.00462,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,11748.8,1.3573,0.81681,0.00425,0.89502,0.91459,0.95341,0.63751,1.22255,0.52739,0.00461,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,12041.5,1.34247,0.81421,0.00417,0.89711,0.91106,0.95374,0.63771,1.22021,0.52943,0.00459,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,12335.6,1.35124,0.80547,0.00419,0.89603,0.91002,0.95392,0.63748,1.21876,0.53325,0.00459,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,12629.2,1.33132,0.81607,0.00413,0.89629,0.91017,0.95244,0.63706,1.21847,0.53292,0.00459,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,12922.9,1.34145,0.8127,0.00412,0.89048,0.91248,0.95156,0.6371,1.21744,0.5331,0.00459,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,13218.1,1.32602,0.79639,0.00409,0.89209,0.90459,0.9516,0.63784,1.21768,0.5355,0.00459,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,13511.2,1.33167,0.79632,0.00412,0.88873,0.90657,0.95246,0.63682,1.2167,0.53788,0.00458,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,307.16,1.31796,0.77448,0.00408,0.89147,0.90587,0.9506,0.63668,1.2106,0.51522,0.00442,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,602.512,1.34872,0.80777,0.00418,0.89262,0.90971,0.95274,0.63826,1.20938,0.51237,0.00442,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,902.406,1.33951,0.80308,0.00417,0.89323,0.90613,0.95116,0.63956,1.21111,0.50517,0.00442,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,1198.28,1.3304,0.80682,0.00413,0.8947,0.90627,0.95192,0.63963,1.21144,0.50222,0.00442,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
